Text,Item,40,Description
Neck Width,NeckWidth,13.6,Put a string around the back of your neck and hold it down the front of the body. Measure from one side of the string to the other. For women this should be between 10 and 12.5 cm and for men between 12.5 and 15 cm
Chest,Chest,92,Around the fullest part of the chest and across shoulder blades
Waist,Waist,76,Around the narrowest part of the waist
Hips,Hips,100,Around fullest part of the hips
Shoulder Width,ShoulderWidth,38.5,Shoulder point to shoulder point in back of body
Center Front Waist to Shoulder,CenterFrontWaisttoShoulder,47.5,Center Front Waist to Shoulder Point
Full Bust,FullBust,92,Around the fullest part of the chest and across shoulder blades
Upper Chest,UpperChest,84.5,Very snuggly circumference of the chest above the bust
Front Bust,FrontBust,53,Side seam to side seam at the fullest part of the bust
Back Bust,BackBust,39,Side seam to side seam at the fullest part of the bust across shoulder blades
Bust to Bust,BusttoBust,19.25,Apex to apex
Bust to Shoulder,BusttoShoulder,27,Apex to shoulder point
Center Front to Waist,CenterFronttoWaist,45.9,Neckline to waist
Side Front to Waist,SideFronttoWaist,49.9,Neckline(side) vertically down to waistline(front)
Side Front to Bust,SideFronttoBust,27,Neckline(side) to apex
Center Back Waist to Shoulder,CenterBackWaisttoShoulder,46,Neckline(back) to shoulder point
Center Back,CenterBack,42,Neckline(back) vertically down to waistline
Side Back,SideBack,45,Neckline(side) vertically down to waistline(back)
Armpit to Waist,ArmpittoWaist,21.25,Armpit vertically down to waistline
Armlength,Armlength,60.2,Shoulder point to wrist over slightly bent arm
Biceps,Biceps,29.2,Fullest part of the arm
Palm,Palm,20.2,Circumference around largest part of the hand
Wrist,Wrist,16.2,Circumference below the large wrist bone
Sleeve Cap,SleeveCap,17,Shoulder point to fullest part of the arm (where biceps was measured)
Waist to Hips,WaisttoHips,20.8,Waistline(side) to hipline(side)
Waist to Knee,WaisttoKnee,62.5,Waistline(side) to knee
Waist to Floor,WaisttoFloor,104,Waistline(side) to floor
Inseam,Inseam,79.5,Crotch to floor
Thigh,Thigh,57.4,Circumference at largest part of the leg close to crotch
