Text,Item,42,Description
Neck Width,NeckWidth,13.8,Put a string around the back of your neck and hold it down the front of the body. Measure from one side of the string to the other. For women this should be between 10 and 12.5 cm and for men between 12.5 and 15 cm
Chest,Chest,96,Around the fullest part of the chest and across shoulder blades
Waist,Waist,80,Around the narrowest part of the waist
Hips,Hips,104,Around fullest part of the hips
Shoulder Width,ShoulderWidth,39,Shoulder point to shoulder point in back of body
Center Front Waist to Shoulder,CenterFrontWaisttoShoulder,46.3,Center Front Waist to Shoulder Point
Full Bust,FullBust,96,Around the fullest part of the chest and across shoulder blades
Upper Chest,UpperChest,88,Very snuggly circumference of the chest above the bust
Front Bust,FrontBust,55,Side seam to side seam at the fullest part of the bust
Back Bust,BackBust,41,Side seam to side seam at the fullest part of the bust across shoulder blades
Bust to Bust,BusttoBust,19.5,Apex to apex
Bust to Shoulder,BusttoShoulder,28,Apex to shoulder point
Center Front to Waist,CenterFronttoWaist,45.5,Neckline to waist
Side Front to Waist,SideFronttoWaist,50.5,Neckline(side) vertically down to waistline(front)
Side Front to Bust,SideFronttoBust,28,Neckline(side) to apex
Center Back Waist to Shoulder,CenterBackWaisttoShoulder,46.5,Neckline(back) to shoulder point
Center Back,CenterBack,42.5,Neckline(back) vertically down to waistline
Side Back,SideBack,45.5,Neckline(side) vertically down to waistline(back)
Armpit to Waist,ArmpittoWaist,21.5,Armpit vertically down to waistline
Armlength,Armlength,60.5,Shoulder point to wrist over slightly bent arm
Biceps,Biceps,30.4,Fullest part of the arm
Palm,Palm,20.6,Circumference around largest part of the hand
Wrist,Wrist,16.6,Circumference below the large wrist bone
Sleeve Cap,SleeveCap,17.5,Shoulder point to fullest part of the arm (where biceps was measured)
Waist to Hips,WaisttoHips,21,Waistline(side) to hipline(side)
Waist to Knee,WaisttoKnee,63.5,Waistline(side) to knee
Waist to Floor,WaisttoFloor,105,Waistline(side) to floor
Inseam,Inseam,80.5,Crotch to floor
Thigh,Thigh,59.3,Circumference at largest part of the leg close to crotch
